patch_id,centre_lat,centre_lon,num_agn,num_psr
362,4.780191847199163,-67.5,5,5
363,4.780191847199163,-56.25,9,1
364,4.780191847199163,-45.0,3,6
365,4.780191847199163,-33.75000000000006,4,1
366,4.780191847199163,-22.5,6,2
367,4.780191847199163,-11.25,10,2
368,0.0,5.625,6,5
369,0.0,16.875,2,6
370,0.0,28.125,2,4
371,0.0,39.375,6,4
372,0.0,50.625,5,2
373,0.0,61.875,4,3
374,0.0,73.125,8,7
375,0.0,84.375,5,3
376,0.0,95.625,1,1
377,0.0,106.875,5,3
378,0.0,118.125,9,1
379,0.0,129.375,7,1
380,0.0,140.625,3,1
381,0.0,151.875,2,1
382,0.0,163.125,5,0
383,0.0,174.375,7,1
384,0.0,-174.375,5,0
385,0.0,-163.125,5,2
386,0.0,-151.875,4,2
387,0.0,-140.625,6,0
388,0.0,-129.37500000000006,5,2
389,0.0,-118.125,5,2
390,0.0,-106.875,6,0
391,0.0,-95.625,2,1
392,0.0,-84.375,4,1
393,0.0,-73.12500000000006,6,13
394,0.0,-61.875,3,7
395,0.0,-50.625,7,9
396,0.0,-39.375,4,6
397,0.0,-28.125,3,5
398,0.0,-16.875,5,4
399,0.0,-5.625,12,7
400,-4.780191847199163,0.0,7,4
401,-4.780191847199163,11.25,5,3
402,-4.780191847199163,22.5,3,4
403,-4.780191847199163,33.75,3,2
404,-4.780191847199163,45.0,10,4
405,-4.780191847199163,56.25,3,2
406,-4.780191847199163,67.5,3,3
407,-4.780191847199163,78.75,4,3
408,-4.780191847199163,90.0,5,2
409,-4.780191847199163,101.25,3,0
410,-4.780191847199163,112.5,3,1
411,-4.780191847199163,123.75,13,0
412,-4.780191847199163,135.0,6,0
413,-4.780191847199163,146.25,6,0
414,-4.780191847199163,157.5,5,0
415,-4.780191847199163,168.75,7,0
416,-4.780191847199163,-180.0,6,1
417,-4.780191847199163,-168.75,8,0
418,-4.780191847199163,-157.5,0,2
419,-4.780191847199163,-146.25,3,0
420,-4.780191847199163,-135.0,7,0
421,-4.780191847199163,-123.75,3,0
422,-4.780191847199163,-112.5,6,1
423,-4.780191847199163,-101.25,0,1
424,-4.780191847199163,-90.0,7,1
425,-4.780191847199163,-78.75000000000006,2,6
426,-4.780191847199163,-67.5,11,7
427,-4.780191847199163,-56.25,10,2
428,-4.780191847199163,-45.0,5,5
429,-4.780191847199163,-33.75000000000006,5,3
430,-4.780191847199163,-22.5,7,4
431,-4.780191847199163,-11.25,6,3
432,-9.594068226860458,5.625,8,0
433,-9.594068226860458,16.875,13,0
434,-9.594068226860458,28.125,8,0
435,-9.594068226860458,39.375,3,0
436,-9.594068226860458,50.625,9,0
437,-9.594068226860458,61.875,5,0
438,-9.594068226860458,73.125,4,2
439,-9.594068226860458,84.375,9,1
440,-9.594068226860458,95.625,5,1
441,-9.594068226860458,106.875,6,0
442,-9.594068226860458,118.125,6,0
443,-9.594068226860458,129.375,13,1
444,-9.594068226860458,140.625,8,0
445,-9.594068226860458,151.875,12,0
446,-9.594068226860458,163.125,8,0
447,-9.594068226860458,174.375,9,0
448,-9.594068226860458,-174.375,8,1
449,-9.594068226860458,-163.125,6,0
450,-9.594068226860458,-151.875,7,0
451,-9.594068226860458,-140.625,5,0
452,-9.594068226860458,-129.37500000000006,10,0
453,-9.594068226860458,-118.125,8,0
