RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
11.07,-84.4,303.14,4.099404,6.088,-28.426258,2.6063538,0.0,-1.0700773,-0.13669041,-0.36546937,-0.5374518,-0.058122437,Non-Pulsar
11.22,68.04,122.32,3.727655,13.439,-27.57872,2.519627,0.0,1.000026,0.09955722,-0.35705188,-0.2924352,0.4271624,Non-Pulsar
11.23,45.89,121.75,2.3858683,5.629,-28.613243,2.4884741,0.0,0.049865942,-0.15780453,-0.24309056,-0.21245289,-1.5708182,Non-Pulsar
11.29,-37.11,310.09,5.2670503,17.578,-28.754879,2.555132,0.0,0.36060116,-0.26380444,-0.24898025,-0.51805604,10.478279,Non-Pulsar
11.34,21.47,121.05,5.5433774,47.787,-27.827858,1.6793745,0.0,1.3794137,0.13577515,0.2009064,0.19707163,0.1900965,Non-Pulsar
11.43,12.29,120.73,4.0961847,32.642,-28.116407,1.9494241,0.0,0.16233423,-0.018602535,0.076752625,0.017255232,0.055687148,Non-Pulsar
11.75,56.96,122.33,4.822123,21.446,-28.02938,2.0362885,0.0,1.0656846,0.23479822,-0.034584217,0.068037264,0.10481096,Non-Pulsar
11.78,-62.05,303.82,2.7010734,3.637,-28.60576,3.0413816,0.0,0.90075886,-0.6546006,-0.9998631,0.99820536,0.64182335,Non-Pulsar
11.98,39.8,122.19,0.0,27.24,0.0,1.981125,1.0,0.0,-0.22394365,0.066569634,-0.059721347,0.21956672,Non-Pulsar
11.99,54.8,122.42,0.0,7.267,0.0,1.7160591,1.0,0.0,0.9752575,-0.40570855,0.6587663,0.47244743,Non-Pulsar
12.0,22.56,121.89,4.9078455,10.303,-28.109009,2.4202042,0.0,-0.56976104,0.007178597,-0.31690666,-0.11756133,0.19633462,Non-Pulsar
12.17,-24.45,109.73,2.5859358,10.618,-28.813772,2.0859287,0.0,0.5274964,0.40080172,-0.0026609967,-0.024570014,-0.2252178,Non-Pulsar
12.25,22.87,122.2,2.550538,8.034,-28.312521,2.2760062,0.0,-0.939968,-0.2519629,-0.32917336,-0.116999455,0.38519052,Non-Pulsar
12.28,42.39,122.47,2.5486002,6.721,-28.877089,1.9310629,0.0,0.414216,-0.22367896,-0.07173375,0.37842906,0.21427521,Non-Pulsar
12.31,62.46,122.68,1.1974719,4.248,-27.733255,2.3391886,0.0,-0.292474,-0.23290877,-0.40878707,0.23318738,0.525811,Non-Pulsar
12.36,-54.04,303.58,3.222951,13.842,-28.885818,2.1858766,0.0,0.57934433,-0.1657367,0.032889925,-0.058978904,-2.230559,Non-Pulsar
12.4,-41.85,304.29,2.2239766,6.202,-28.974783,2.05724,0.0,-0.19739185,0.8597038,0.019347277,0.0110464655,0.102516845,Non-Pulsar
12.42,-45.01,303.95,2.9788992,8.885,-28.7912,2.6896482,0.0,-0.41083091,-0.3608367,-0.37479967,-0.39696783,-0.75379246,Non-Pulsar
12.44,2.63,122.08,5.5705485,54.94,-27.955864,1.9839023,0.0,1.8232051,0.1301143,-0.008610008,-0.050257877,-0.23618558,Non-Pulsar
12.52,-57.62,303.29,6.8542747,44.945,-28.230085,2.3807728,0.0,1.0923693,-0.16245098,-0.2515908,-0.33250976,-0.034730773,Non-Pulsar
12.61,-4.88,122.28,5.4951067,30.092,-28.115952,2.2545953,0.0,1.2638345,-0.011855476,-0.18324812,-0.169575,-0.32333893,Non-Pulsar
12.68,-9.49,122.33,5.140717,87.664,-27.534534,1.923501,0.0,1.7989997,0.0939797,0.046505556,-0.024427986,-0.052798886,Non-Pulsar
12.72,-34.47,303.84,0.0,3.933,0.0,1.9453152,1.0,0.0,0.9731098,0.108331904,-0.47403958,0.14584377,Non-Pulsar
12.78,-6.81,122.71,5.2398553,28.417,-28.18105,2.3011613,0.0,1.5465511,-0.09927852,-0.1981793,-0.36119518,-0.5170015,Non-Pulsar
12.82,-62.7,302.96,5.1436157,69.563,-27.789446,1.5880969,0.0,1.8861179,0.65434986,0.2597682,0.2145198,0.25020793,Non-Pulsar
12.88,-42.35,302.88,5.138888,17.511,-28.530344,2.5713918,0.0,1.4285648,-0.23308165,-0.43930086,-0.6388468,-3.2876687,Non-Pulsar
13.25,-66.74,302.69,2.4581845,9.54,-29.071224,2.056171,0.0,-0.3632541,0.17097436,-0.3724678,0.14672694,0.6038712,Non-Pulsar
13.61,86.45,122.98,3.5044582,12.259,-28.189436,2.729814,0.0,1.1485842,-0.2553196,-0.37411913,-0.645483,-1.1033982,Non-Pulsar
13.69,-24.93,141.99,3.2714272,35.678,-28.037373,1.6337878,0.0,1.201936,0.21780036,0.23064448,0.21658286,0.24224468,Non-Pulsar
13.7,-19.91,129.23,3.4437761,4.262,-28.888176,2.3913615,0.0,0.11117603,-0.052898455,-0.015137118,-0.3093481,2.1400092,Non-Pulsar
13.78,-12.32,126.45,5.5751495,27.361,-28.362267,2.1882546,0.0,1.4123268,-0.012974946,-0.10388135,-0.30734015,-0.6126736,Non-Pulsar
14.09,-9.6,126.95,3.7553642,31.173,-28.1392,1.8780916,0.0,0.5242491,0.25611177,0.11042895,0.11156031,-0.12511262,Non-Pulsar
14.12,-21.3,134.36,3.6863592,37.179,-28.16598,1.7502314,0.0,1.688071,0.26798233,0.16564511,0.13721389,-0.018557189,Non-Pulsar
14.15,-39.61,298.36,2.5226645,5.834,-29.089037,2.163942,0.0,0.5947933,0.6352199,0.14782406,-0.12634394,3.7346604,Non-Pulsar
